,Datetime,Price type,Instrument,Price
0,2023-08-14 02:00:00,Adj Close,EURUSD=X,1.0938525199890137
1,2023-08-14 03:00:00,Adj Close,EURUSD=X,1.0933741331100464
2,2023-08-14 04:00:00,Adj Close,EURUSD=X,1.0933741331100464
3,2023-08-14 05:00:00,Adj Close,EURUSD=X,1.0938525199890137
4,2023-08-14 06:00:00,Adj Close,EURUSD=X,1.0939722061157227
5,2023-08-14 07:00:00,Adj Close,EURUSD=X,1.0934937000274658
6,2023-08-14 08:00:00,Adj Close,EURUSD=X,1.0955302715301514
7,2023-08-14 09:00:00,Adj Close,EURUSD=X,1.0949305295944214
8,2023-08-14 10:00:00,Adj Close,EURUSD=X,1.095170259475708
9,2023-08-14 11:00:00,Adj Close,EURUSD=X,1.0948106050491333
10,2023-08-14 12:00:00,Adj Close,EURUSD=X,1.0943313837051392
11,2023-08-14 13:00:00,Adj Close,EURUSD=X,1.090869426727295
12,2023-08-14 14:00:00,Adj Close,EURUSD=X,1.0883761644363403
13,2023-08-14 15:00:00,Adj Close,EURUSD=X,1.0906314849853516
14,2023-08-14 16:00:00,Adj Close,EURUSD=X,1.0925379991531372
15,2023-08-14 17:00:00,Adj Close,EURUSD=X,1.0932546854019165
16,2023-08-14 18:00:00,Adj Close,EURUSD=X,1.0920606851577759
17,2023-08-14 19:00:00,Adj Close,EURUSD=X,1.0907504558563232
18,2023-08-14 20:00:00,Adj Close,EURUSD=X,1.0907504558563232
19,2023-08-14 21:00:00,Adj Close,EURUSD=X,1.0909883975982666
20,2023-08-14 22:00:00,Adj Close,EURUSD=X,1.090869426727295
21,2023-08-14 23:00:00,Adj Close,EURUSD=X,1.0911074876785278
22,2023-08-15 00:00:00,Adj Close,EURUSD=X,1.0911074876785278
23,2023-08-15 01:00:00,Adj Close,EURUSD=X,1.090869426727295
24,2023-08-15 02:00:00,Adj Close,EURUSD=X,1.0913456678390503
25,2023-08-15 03:00:00,Adj Close,EURUSD=X,1.091226577758789
26,2023-08-15 04:00:00,Adj Close,EURUSD=X,1.0917030572891235
27,2023-08-15 05:00:00,Adj Close,EURUSD=X,1.0913456678390503
28,2023-08-15 06:00:00,Adj Close,EURUSD=X,1.0915838479995728
29,2023-08-15 07:00:00,Adj Close,EURUSD=X,1.0927767753601074
30,2023-08-15 08:00:00,Adj Close,EURUSD=X,1.0926573276519775
31,2023-08-15 09:00:00,Adj Close,EURUSD=X,1.0932546854019165
32,2023-08-15 10:00:00,Adj Close,EURUSD=X,1.0943313837051392
33,2023-08-15 11:00:00,Adj Close,EURUSD=X,1.0937328338623047
34,2023-08-15 12:00:00,Adj Close,EURUSD=X,1.093135118484497
35,2023-08-15 13:00:00,Adj Close,EURUSD=X,1.0926573276519775
36,2023-08-15 14:00:00,Adj Close,EURUSD=X,1.0940918922424316
37,2023-08-15 15:00:00,Adj Close,EURUSD=X,1.0945708751678467
38,2023-08-15 16:00:00,Adj Close,EURUSD=X,1.0930156707763672
39,2023-08-15 17:00:00,Adj Close,EURUSD=X,1.0921800136566162
40,2023-08-15 18:00:00,Adj Close,EURUSD=X,1.0920606851577759
41,2023-08-15 19:00:00,Adj Close,EURUSD=X,1.090869426727295
42,2023-08-15 20:00:00,Adj Close,EURUSD=X,1.090869426727295
43,2023-08-15 21:00:00,Adj Close,EURUSD=X,1.0907504558563232
44,2023-08-15 22:00:00,Adj Close,EURUSD=X,1.0907504558563232
45,2023-08-15 23:00:00,Adj Close,EURUSD=X,1.0906314849853516
46,2023-08-16 00:00:00,Adj Close,EURUSD=X,1.0907504558563232
47,2023-08-16 01:00:00,Adj Close,EURUSD=X,1.0905125141143799
48,2023-08-16 02:00:00,Adj Close,EURUSD=X,1.0909883975982666
49,2023-08-16 03:00:00,Adj Close,EURUSD=X,1.0907504558563232
50,2023-08-16 04:00:00,Adj Close,EURUSD=X,1.090869426727295
51,2023-08-16 05:00:00,Adj Close,EURUSD=X,1.0917030572891235
52,2023-08-16 06:00:00,Adj Close,EURUSD=X,1.0918222665786743
53,2023-08-16 07:00:00,Adj Close,EURUSD=X,1.0921800136566162
54,2023-08-16 08:00:00,Adj Close,EURUSD=X,1.0927767753601074
55,2023-08-16 09:00:00,Adj Close,EURUSD=X,1.093135118484497
56,2023-08-16 10:00:00,Adj Close,EURUSD=X,1.0928961038589478
57,2023-08-16 11:00:00,Adj Close,EURUSD=X,1.0921800136566162
